country_names,Land_Area,Region
1.Greece,128900,Europe
2.China,9388211,Asia
3.Denmark,42430,Europe
4.Ethiopia,1000000,Africa
5.Egypt,995450,Africa
6.Bolivia,1083300,South America
7.Austria,82409,Europe
8.France,547557,Europe
9.Germany,348560,Europe
10.Finland,303890,Europe
