Year,Month,Day,DayOfWeek,Flight_Date,UniqueCarrier,Tai_lNum,FlightNum,Origin_Airport,Origin_City_Name,Origin_State,Scheduled_Departure,Departure_Time,Dep_Delay,DepDel15,Dep_Delay_Groups,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15,Cancelled,Diverted,Distance,DistanceGroup,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers,Top_Origin,DEPTIME_GROUP1,DEPTIME_GROUP2,DEPTIME_GROUP3
2016,7,1,5,01/07/2016,AA,N797AA,1,JFK,"New York, NY",NY,830,846,16,1,1,1138,1200,22,22,1,0,0,2475,10,0,0,6,0,16,1,1,0600-1200,0800-1000,0800-0900
2016,7,2,6,02/07/2016,AA,N791AA,1,JFK,"New York, NY",NY,830,831,1,0,0,1138,1138,0,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,3,7,03/07/2016,AA,N790AA,1,JFK,"New York, NY",NY,830,830,0,0,0,1138,1135,-3,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,4,1,04/07/2016,AA,N785AA,1,JFK,"New York, NY",NY,830,827,-3,0,-1,1138,1122,-16,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,5,2,05/07/2016,AA,N786AA,1,JFK,"New York, NY",NY,830,914,44,1,2,1138,1159,21,21,1,0,0,2475,10,21,0,0,0,0,1,1,0600-1200,0800-1000,0900-1000
2016,7,6,3,06/07/2016,AA,N799AA,1,JFK,"New York, NY",NY,830,824,-6,0,-1,1138,1145,7,7,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,7,4,07/07/2016,AA,N789AA,1,JFK,"New York, NY",NY,830,828,-2,0,-1,1138,1130,-8,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,8,5,08/07/2016,AA,N787AA,1,JFK,"New York, NY",NY,830,823,-7,0,-1,1138,1138,0,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,9,6,09/07/2016,AA,N788AA,1,JFK,"New York, NY",NY,830,827,-3,0,-1,1138,1138,0,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,10,7,10/07/2016,AA,N783AA,1,JFK,"New York, NY",NY,830,831,1,0,0,1138,1148,10,10,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,11,1,11/07/2016,AA,N799AA,1,JFK,"New York, NY",NY,830,825,-5,0,-1,1138,1152,14,14,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,12,2,12/07/2016,AA,N798AA,1,JFK,"New York, NY",NY,830,823,-7,0,-1,1138,1110,-28,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,13,3,13/07/2016,AA,N796AA,1,JFK,"New York, NY",NY,830,831,1,0,0,1138,1132,-6,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,14,4,14/07/2016,AA,N790AA,1,JFK,"New York, NY",NY,830,836,6,0,0,1138,1150,12,12,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,15,5,15/07/2016,AA,N794AA,1,JFK,"New York, NY",NY,830,829,-1,0,-1,1138,1133,-5,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,16,6,16/07/2016,AA,N786AA,1,JFK,"New York, NY",NY,830,830,0,0,0,1138,1147,9,9,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,17,7,17/07/2016,AA,N791AA,1,JFK,"New York, NY",NY,830,831,1,0,0,1138,1137,-1,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,18,1,18/07/2016,AA,N796AA,1,JFK,"New York, NY",NY,830,827,-3,0,-1,1138,1144,6,6,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,20,3,20/07/2016,AA,N786AA,1,JFK,"New York, NY",NY,830,824,-6,0,-1,1138,1136,-2,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,21,4,21/07/2016,AA,N790AA,1,JFK,"New York, NY",NY,830,1036,126,1,8,1138,1317,99,99,1,0,0,2475,10,42,0,0,0,57,1,1,0600-1200,1000-1200,1000-1100
2016,7,22,5,22/07/2016,AA,N785AA,1,JFK,"New York, NY",NY,830,828,-2,0,-1,1138,1113,-25,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,23,6,23/07/2016,AA,N791AA,1,JFK,"New York, NY",NY,830,832,2,0,0,1138,1107,-31,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,24,7,24/07/2016,AA,N788AA,1,JFK,"New York, NY",NY,830,859,29,1,1,1138,1132,-6,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,25,1,25/07/2016,AA,N792AA,1,JFK,"New York, NY",NY,830,822,-8,0,-1,1138,1144,6,6,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,26,2,26/07/2016,AA,N783AA,1,JFK,"New York, NY",NY,830,822,-8,0,-1,1138,1121,-17,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,27,3,27/07/2016,AA,N797AA,1,JFK,"New York, NY",NY,830,834,4,0,0,1138,1134,-4,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,28,4,28/07/2016,AA,N792AA,1,JFK,"New York, NY",NY,830,826,-4,0,-1,1138,1122,-16,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,29,5,29/07/2016,AA,N791AA,1,JFK,"New York, NY",NY,830,824,-6,0,-1,1138,1130,-8,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,30,6,30/07/2016,AA,N798AA,1,JFK,"New York, NY",NY,830,913,43,1,2,1138,1213,35,35,1,0,0,2475,10,35,0,0,0,0,1,1,0600-1200,0800-1000,0900-1000
2016,7,31,7,31/07/2016,AA,N799AA,1,JFK,"New York, NY",NY,830,959,89,1,5,1138,1303,85,85,1,0,0,2475,10,0,0,0,0,85,1,1,0600-1200,0800-1000,0900-1000
2016,7,1,5,01/07/2016,AA,N783AA,2,LAX,"Los Angeles, CA",CA,900,1242,222,1,12,1729,2314,345,345,1,0,0,2475,10,0,0,345,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,2,6,02/07/2016,AA,N790AA,2,LAX,"Los Angeles, CA",CA,900,857,-3,0,-1,1729,1714,-15,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
